Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Aug-22,Administration,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Dec-22,Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Arnold, Elana K.",Infandous,Banned from Libraries and Classrooms,,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Arnold, Elana K.",Infandous,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Nov-22,Formal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Mar-23,Administration,2022-2023
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,,,,Iowa,Carroll Community School District,Aug-22,Informal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Virginia,Hanover County Public Schools,Jun-23,Informal Challenge,2022-2023
"Arnold, Elana K.",Red Hood,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Oct-22,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Apr-23,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,Michigan,St. Joseph Public Schools,Sep-22,Informal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,Texas,Belton Independent School District,Sep-22,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Texas,Katy Independent School District,Sep-22,Administration,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Nov-22,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Feb-23,Formal Challenge,2022-2023
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,,Wyoming,Park County School District #1,Feb-23,Administration,2022-2023
"Arnold, Elana K.",What Riley Wore,Banned from Libraries,,,,,South Carolina,Horry County Schools,Nov-22,Informal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,Duval County Public Schools,Mar-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,May-23,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,Florida,School District of Manatee County,Jun-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,Michigan,Chippewa Valley Schools,Jan-23,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Feb-23,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries,,,,,Utah,Davis School District,Dec-22,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,2022-2023
"Asher, Jay",Thirteen Reasons Why,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Administration,2022-2023
"Atkins, Catherine",Alt Ed,Banned Pending Investigation,,,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned from Libraries,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned from Libraries,,,,,Florida,Flagler Schools,Jun-23,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned from Libraries,,,,,Florida,Volusia County Schools,Jan-23,Administration,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Atta, Dean",The Black Flamingo,Banned from Libraries and Classrooms,,,,,Pennsylvania,Perkiomen Valley School District,Mar-23,Informal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,Texas,Keller Independent School District,Feb-23,Formal Challenge,2022-2023
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,MaddAddam,Florida,Escambia County Public Schools,Oct-22,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,MaddAddam,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries,,,,MaddAddam,Georgia,Forsyth County Schools,Jun-23,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Missouri,Willard Public Schools,Oct-22,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned Pending Investigation,,,,MaddAddam,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Utah,Davis School District,Nov-22,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Utah,Jordan School District,AY 2022-2023,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,2022-2023
"Atwood, Margaret",Oryx and Crake,Banned from Libraries and Classrooms,,,,MaddAddam,Utah,Washington County School District,Sep-22,Informal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,South Carolina,Anderson School District One,Apr-23,Informal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Nov-22,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries,,,,,Texas,Spring Branch Independent School District,Jan-23,Unclear,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries,,,,,Utah,Davis School District,Jan-23,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned from Libraries and Classrooms,,,,,Virginia,Madison County Public Schools,Jan-23,Administration,2022-2023
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,,Wyoming,Park County School District #1,Feb-23,Administration,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries and Classrooms,,"Nault, Renee",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,,Florida,Escambia County Public Schools,Oct-22,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries and Classrooms,,"Nault, Renee",,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries and Classrooms,,"Nault, Renee",,,Missouri,Fox C-6 School District,Sep-22,Formal Challenge,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries and Classrooms,,"Nault, Renee",,,Missouri,Kirkwood School District,Oct-22,Legislative Action,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries,,"Nault, Renee",,,Missouri,Lindbergh Schools,Nov-22,Legislative Action,2022-2023
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned from Libraries,,"Nault, Renee",,,Missouri,Mehlville School District,Aug-22,Legislative Action,2022-2023
